,entities,frequency
0,http,46995
1,cll,28689
2,leukemia,19786
3,lymphocytic,17378
4,chronic,17101
5,patient,9741
6,treatment,5953
7,new,5595
8,cancer,4487
9,lymphoma,4315
10,leusm,4209
11,amp,3850
12,ibrutinib,3826
13,acalabrutinib,3666
14,cell,3095
15,dr,2789
16,therapy,2788
17,trial,2739
18,calquence,2590
19,venetoclax,2486
20,study,2470
21,s,2276
22,drug,2257
23,hematology,2200
24,’,2053
25,fda,1781
26,clinical,1754
27,relapsed,1659
28,article,1654
29,phase,1623
30,via,1607
31,data,1553
32,lymsm,1454
33,astrazeneca,1416
34,w,1388
35,expert,1315
36,research,1299
37,inhibitor,1272
38,covid19,1246
39,learn,1220
40,video,1212
41,combination,1210
42,leukaemia,1205
43,adult,1150
44,cllsm,1136
45,result,1121
46,blood,1105
47,rituximab,1040
48,discus,1024
49,disease,1019
50,oncology,1019
51,u,1018
52,btk,1003
53,today,984
54,option,973
55,de,967
56,response,904
57,show,868
58,review,831
59,mantle,830
60,news,829
61,md,826
62,bcell,823
63,obinutuzumab,819
64,get,812
65,plus,795
66,may,794
67,3,788
68,refractory,780
69,relapsedrefractory,776
70,survival,776
71,watch,771
72,approves,745
73,risk,745
74,year,743
75,targeted,742
76,pt,731
77,approved,729
78,mutation,726
79,see,714
80,medivizor,710
81,novel,707
82,outcome,707
83,bloodcancer,703
84,help,701
85,2,686
86,treated,685
87,read,670
88,great,667
89,approval,661
90,live,647
91,update,647
92,report,645
93,gt,635
94,mdandersonnews,630
95,latest,616
96,small,616
97,share,615
98,one,612
99,la,611
100,available,607
101,care,605
102,efficacy,604
103,previously,591
104,untreated,589
105,health,586
106,case,580
107,clinicaltrial,579
108,join,579
109,day,576
110,time,575
111,need,570
112,abbvie,564
113,analysis,563
114,effective,560
115,en,559
116,lymphocyte,552
117,diagnosed,550
118,treat,548
119,imbruvica,548
120,patientpower,543
121,placebo,535
122,people,531
123,check,529
124,акалабрутиниб,528
125,highrisk,525
126,early,523
127,ash18,523
128,аналог,523
129,описание,523
130,first,523
131,показа,523
132,luciacalabru,523
133,калквенс,523
134,therapeutic,514
135,“,512
136,potential,509
137,vs,509
138,frontline,508
139,market,504
140,v,502
141,leukemiamda,500
142,use,500
143,cllpy,498
144,diagnosis,498
145,unidasporelobjetivo,497
146,sll,485
147,meeting,476
148,”,475
149,mcl,474
150,work,471
151,mrd,471
152,role,465
153,group,461
154,⏱️,461
155,agent,459
156,high,459
157,rate,455
158,benefit,455
159,looking,451
160,safety,448
161,🔴⚪⚫,448
162,know,448
163,prognostic,442
164,type,436
165,impact,436
166,treating,429
167,1,428
168,enrolling,428
169,rr,427
170,important,425
171,us,423
172,find,423
173,et,418
174,⁦,418
175,chroniclymphocyticleukemia,418
176,register,418
177,idelalisib,415
178,longterm,413
179,car,409
180,pfs,408
181,iii,408
182,announces,407
183,growing,407
184,nonhodgkin,402
185,medicine,396
186,advance,396
187,effect,395
188,b,393
189,involving,392
190,ash19,392
191,support,391
192,common,390
193,slow,390
194,progression,388
195,activity,388
196,combo,383
197,ash20,382
198,primarily,381
199,please,380
200,firstline,379
201,presented,376
202,ashhematology,375
203,good,374
204,malignancy,371
205,global,369
206,free,369
207,⚽,366
208,question,364
209,resistance,364
210,rt,363
211,tcell,361
212,current,361
213,gene,361
214,tcoa7uh6eqlyn,360
215,next,360
216,life,358
217,john,357
218,session,356
219,–,356
220,pharma,356
221,nt,353
222,talk,352
223,anthonymatomd,350
224,chemoimmunotherapy,350
225,roche,343
226,venclexta,342
227,breakthrough,341
228,story,341
229,best,340
230,cart,337
231,al,336
232,aml,336
233,event,335
234,azn,334
235,designation,333
236,el,333
237,management,332
238,oral,332
239,hemonc,329
240,associated,328
241,living,324
242,like,323
243,hear,321
244,experience,321
245,bcl2,321
246,test,321
247,immunotherapy,320
248,expression,320
249,interview,316
250,light,316
251,danafarber,315
252,many,314
253,week,312
254,ash,312
255,kinase,311
256,immune,310
257,society,308
258,landscape,308
259,could,307
260,le,305
261,come,304
262,remission,301
263,forward,298
264,webinar,297
265,acute,296
266,strategy,296
267,myeloma,296
268,2020,295
269,positive,294
270,vjhemonc,294
271,regimen,293
272,receptor,293
273,genetic,292
274,chemotherapy,292
275,well,291
276,present,290
277,ash17,290
278,approach,290
279,infection,288
280,status,288
281,area,286
282,development,285
283,oncoalert,283
284,take,283
285,green,283
286,insight,282
287,factor,281
288,testing,281
289,line,281
290,future,280
291,thanks,279
292,month,277
293,team,275
294,older,275
295,coronavirus,274
296,used,273
297,nhl,273
298,leukemiasmall,270
299,say,270
300,international,269
301,richter,269
302,4,269
303,17p,269
304,sequencing,267
305,iwcll,266
306,part,264
307,community,264
308,ofatumumab,262
309,primary,262
310,key,261
311,cello,261
312,better,261
313,rx,260
314,researcher,259
315,presentation,259
316,using,258
317,eu,257
318,standard,256
319,tgtx,256
320,challenge,256
321,two,256
322,prior,255
323,still,253
324,published,252
325,antibody,252
326,residual,250
327,2017,249
328,2019,249
329,tumor,248
330,deletion,248
331,conference,247
332,evaluating,245
333,including,245
334,5,244
335,sharman,243
336,prof,243
337,followup,242
338,look,241
339,promising,238
340,con,238
341,start,237
342,recent,236
343,multiple,236
344,12,236
345,2018,236
346,duvelisib,235
347,haematology,234
348,ash15,233
349,promise,233
350,imbruvica®,233
351,columbiamed,233
352,ii,232
353,nejm,231
354,endcancer,230
355,marrow,229
356,bendamustine,229
357,highlight,228
358,doctor,228
359,center,228
360,transformation,227
361,profile,227
362,program,227
363,cure,226
364,10,225
365,uk,225
366,online,224
367,…,224
368,make,223
369,updated,221
370,finding,221
371,cllsociety,221
372,perspective,221
373,jennifer,220
374,give,219
375,chemo,218
376,minimal,218
377,jeff,218
378,re,217
379,access,217
380,targeting,217
381,kind,216
382,discussion,216
383,asco,215
384,del,215
385,lamanna,215
386,cme,215
387,symptom,214
388,another,214
389,powerful,214
390,information,214
391,qualify,214
392,post,214
393,medical,213
394,abbv,213
395,ublituximab,213
396,change,213
397,improves,212
398,2016,212
399,signaling,212
400,found,211
401,also,211
402,model,210
403,que,210
404,target,209
405,listen,209
406,fcr,209
407,pipeline,208
408,way,207
409,abstract,207
410,monotherapy,206
411,improved,205
412,granted,205
413,suggest,205
414,link,204
415,onclive,204
416,cml,203
417,virtual,203
418,bloodjournal,202
419,tyrosine,202
420,showed,202
421,grant,202
422,plc,201
423,bruton,201
424,exciting,200
425,resource,200
426,🏆,200
427,bone,200
428,sloankettering,199
429,panel,199
430,usfda,197
431,chlorambucil,197
432,evolution,197
433,phd,197
434,tp53,197
435,last,195
436,thank,194
437,umbralisib,194
438,world,194
439,miss,194
440,without,193
441,prognosis,193
442,side,192
443,interesting,191
444,explains,190
445,llsusa,189
446,paper,189
447,mmsm,189
448,sign,188
449,knowledgeisbestrx,188
450,based,187
451,wwierda,187
452,meet,187
453,top,187
454,family,186
455,molecular,186
456,ok,186
457,big,186
458,severe,186
459,toxicity,185
460,final,185
461,actively,185
462,want,184
463,journal,184
464,received,183
465,progressionfree,183
466,practice,183
467,pm,182
468,myeloid,181
469,era,181
470,american,180
471,m,179
472,company,179
473,clinicaltrials,179
474,bloodcancerawareness,178
475,go,177
476,full,177
477,nice,177
478,cost,177
479,follicular,176
480,initial,176
481,para,176
482,furman,176
483,form,175
484,ash16,175
485,specific,175
486,improve,175
487,info,175
488,member,174
489,hope,174
490,dlbcl,174
491,j,174
492,wierda,173
493,system,173
494,st,173
495,6,173
496,growth,173
497,would,172
498,andrewschorr,172
499,course,172
500,annual,172
501,wait,171
502,overall,171
503,leucemia,171
504,susan,171
505,newly,170
506,back,170
507,endpoint,170
508,syndrome,170
509,transplant,169
510,friend,169
511,compared,168
512,project,168
513,e,168
514,overview,167
515,setting,167
516,blog,167
517,shot,166
518,safe,166
519,long,166
520,combined,166
521,cllsll,165
522,science,165
523,among,165
524,pathway,165
525,receives,164
526,complete,164
527,different,163
528,level,163
529,drmdavids,163
530,weillcornell,163
531,monoclonal,162
532,elderly,162
533,second,161
534,existing,161
535,healthcare,161
536,coming,161
537,keating,161
538,death,160
539,condition,159
540,improvement,159
541,iwcll2017,159
542,versus,159
543,inhibition,159
544,zanubrutinib,159
545,un,158
546,working,158
547,tomorrow,158
548,lenalidomide,158
549,allogeneic,157
550,unicologne,157
551,osucccjames,157
552,woyach,156
553,issue,156
554,application,156
555,stage,156
556,advocate,155
557,stem,155
558,win,155
559,priority,155
560,age,154
561,chromosomal,154
562,murano,154
563,genomic,153
564,follow,153
565,cancerresearch,153
566,brown,153
567,opportunity,153
568,active,153
569,human,152
570,dose,152
571,abnormality,152
572,lead,152
573,1st,152
574,open,151
575,q,151
576,power4patients,151
577,ehahematology,151
578,ighv,151
579,visit,151
580,according,150
581,ask,150
582,tolerability,150
583,advice,148
584,az,148
585,randomized,148
586,leading,148
587,transplantation,148
588,2015,148
589,dna,147
590,taking,147
591,poster,147
592,excellent,146
593,summary,145
594,move,145
595,higher,145
596,love,145
597,durable,145
598,breaking,144
599,protein,143
600,guideline,143
601,scan,142
602,pattern,142
603,rare,142
604,right,142
605,least,141
606,european,141
607,vaccine,141
608,sun,141
609,linked,141
610,treatmentnaïve,141
611,following,141
612,torneoclausura,140
613,david,140
614,learning,140
615,answer,139
616,alone,139
617,marker,139
618,workshop,138
619,powerfulin2016,138
620,significantly,138
621,presenting,138
622,orphan,138
623,por,137
624,network,137
625,date,137
626,aim,137
627,genentech,137
628,antigen,136
629,indication,136
630,tcow83aqpuk5a,136
631,number,136
632,drs,136
633,leukaemiacareuk,135
634,lt,135
635,pharmaceutical,135
636,click,135
637,r,135
638,hodgkin,135
639,p,135
640,function,134
641,hemeonc,134
642,michael,134
643,managing,134
644,hillmen,134
645,evidence,134
646,three,134
647,📌,134
648,lymphomahub,133
649,survivor,133
650,chemotherapyfree,133
651,much,133
652,affect,132
653,related,132
654,mabtherea,132
655,detail,132
656,maintenance,131
657,regulatory,131
658,canada,131
659,tg,131
660,excited,131
661,medication,131
662,decision,130
663,pivotal,130
664,colleague,130
665,awareness,130
666,partner,130
667,30,130
668,adverse,130
669,association,129
670,melanoma,129
671,increased,129
672,others,129
673,gribben,129
674,relapse,128
675,realworld,128
676,mpn,128
677,emerging,128
678,morning,127
679,state,127
680,aggressive,127
681,focus,127
682,roundup,126
683,town,126
684,thought,126
685,o,126
686,discussing,126
687,‘,125
688,due,125
689,solution,125
690,gazyva,125
691,publication,125
692,met,124
693,recommended,124
694,00,124
695,stay,124
696,pi3k,124
697,single,124
698,recently,123
699,8,123
700,cause,123
701,discussed,123
702,microenvironment,123
703,9,123
704,advanced,122
705,participate,122
706,led,122
707,mechanism,122
708,price,122
709,manage,122
710,education,122
711,launch,122
712,increase,121
713,duration,121
714,yet,121
715,fludarabine,121
716,series,121
717,icymi,120
718,14,120
719,nicole,120
720,pickup,120
721,importance,120
722,paralysis,120
723,charity,120
724,ctsm,119
725,ad,119
726,fecha,119
727,lymphocytosis,119
728,tconyhgvhpqve,119
729,understanding,119
730,collaboration,119
731,feature,119
732,superior,118
733,implication,118
734,jeffsharman,117
735,pubmed,117
736,c,117
737,value,117
738,going,117
739,biotech,117
740,covid,117
741,low,116
742,made,116
743,hcsm,115
744,receiving,115
745,pacientes,115
746,contact,114
747,large,114
748,assessment,114
749,reveals,114
750,trend,114
751,petermaccc,114
752,l,113
753,journey,113
754,20,113
755,btki,113
756,—,113
757,clonal,113
758,across,112
759,15,112
760,sharing,112
761,identify,112
762,reduced,112
763,med,112
764,demonstrated,112
765,provides,112
766,immunoonc,112
767,treatmentnaive,111
768,se,111
769,difference,111
770,comparing,111
771,explores,111
772,7,110
773,soon,110
774,getting,110
775,thing,110
776,control,110
777,got,109
778,view,109
779,offer,109
780,peter,109
781,progress,109
782,tell,109
783,march,108
784,regarding,108
785,cllireland,108
786,orr,108
787,changing,107
788,verastem,107
789,consider,107
790,brian,107
791,hematologic,107
792,book,106
793,asco19,106
794,eichhorst,106
795,william,106
796,1l,106
797,combining,106
798,mean,105
799,bcells,105
800,think,105
801,several,105
802,richard,105
803,fatigue,104
804,stop,104
805,bloodcancerawarenessmonth,104
806,recommendation,104
807,eha24,104
808,thompson,104
809,generation,104
810,starting,103
811,tumorimmuno,103
812,tune,103
813,let,103
814,significant,103
815,medium,103
816,said,102
817,acp196,102
818,step,102
819,understand,102
820,11,102
821,multiplemyeloma,102
822,meded,102
823,specialist,102
824,prescription,101
825,los,101
826,caregiver,101
827,really,101
